experiment,game,method,trajectory_id,init_p1,init_p2,step,coop_p1,coop_p2,success
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,84,0.015272764944755102,0.017719092117759745,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,86,0.01500134798172566,0.017356118371618153,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,88,0.014739123586661323,0.017010008060297555,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,90,0.014487241505556876,0.01667980275221721,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,92,0.01424804769298429,0.016360303726185684,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,94,0.014016300703223357,0.01605534462592409,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,96,0.013792516767360992,0.015762810201330114,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,98,0.01357669448379247,0.015483030914585756,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,100,0.013367594836033173,0.015214132419822298,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,102,0.013166588185096431,0.014955143804200216,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,104,0.012972959623507455,0.014705185101669755,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,106,0.012784965512163073,0.014464868000179596,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,108,0.012603767125637811,0.014232734444917789,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,110,0.012427859929976784,0.01400821336817175,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,112,0.012292222414503869,0.013832500443586923,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,114,0.012126114316164453,0.013622333266254269,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,116,0.011965450311191846,0.01341815044356681,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,118,0.011808338212210761,0.013223383090027586,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,120,0.011657028570400307,0.013033014027934683,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,122,0.011508824700643032,0.012848573991279297,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,124,0.01136437841571638,0.012671748876433374,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,126,0.011225260521441677,0.012498517559706454,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,128,0.01108864752983632,0.012332480523517235,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,130,0.01095653439705209,0.012169748012234718,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,132,0.01082837311065278,0.012011975134949303,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,134,0.010702931820980652,0.0118588355741061,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,136,0.010580518385506275,0.011710895522497598,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,138,0.010461481491148611,0.011565924634805541,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,139,0.010403061911778564,0.011495175111395547,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,0,0.07873860573832092,0.44742763902597066,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,2,0.07218057371091523,0.3422676020583823,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,4,0.06744390484749788,0.2608177641133457,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,6,0.060453787922727695,0.20000068409875815,0
