experiment,game,method,seed,success,final_reward_mean,final_coop_min,final_coop_mean
ablation,ipd,meta_pg,1,0,9.768612758052258,0.008576880476569631,0.01335663043161946
ablation,ipd,meta_pg,2,0,9.776901887775875,0.00817633901613974,0.01476083072170318
ablation,ipd,meta_pg,3,0,9.931984717730472,0.019432069458839508,0.03230948027260851
ablation,ipd,meta_pg,4,0,9.809918394885159,0.00956143842325075,0.022392818123101222
ablation,ipd,meta_pg,5,0,11.287398500012163,0.0376436836465577,0.48882971139371445
ablation,ipd,meta_pg,6,0,9.774010362728953,0.011462509651753206,0.012026027069053247
ablation,ipd,meta_pg,7,0,9.766538333028247,0.009655597380283024,0.010059065529009426
ablation,ipd,meta_pg,8,0,11.463157603269284,0.011009600741999515,0.4820711940673925
ablation,ipd,meta_pg,9,0,9.79807798503317,0.012428143901123626,0.015739254162442637
ablation,ipd,meta_pg,10,0,9.758346139205402,0.007325501314698808,0.010787950176317604
ablation,ipd,meta_pg,11,0,9.804160327805977,0.01258123364337357,0.014396725961782248
ablation,ipd,meta_pg,12,0,9.754689531615535,0.010268091561528874,0.011598399335621117
ablation,ipd,meta_pg,13,0,9.833128761696035,0.023606236029984785,0.0240826478572711
ablation,ipd,meta_pg,14,0,9.74662723790139,0.007370851240103323,0.008345122513917072
ablation,ipd,meta_pg,15,0,9.759316829481854,0.010085461179543504,0.011279472885018647
ablation,ipd,meta_pg,16,0,9.76008997696426,0.011851672946633366,0.012349386046181438
ablation,ipd,meta_pg,17,0,9.77513657220648,0.014506199931388682,0.01489360271182907
ablation,ipd,meta_pg,18,0,9.807146559117808,0.013253589834814403,0.013379275393898426
ablation,ipd,meta_pg,19,0,9.769540455120065,0.009927560583755664,0.012409967021812612
ablation,ipd,lola_style,0,0,12.602357986858031,0.022763916875162774,0.4886727831032874
ablation,ipd,lola_style,1,0,9.765190950426305,0.010194858072072654,0.013205741174256587
ablation,ipd,lola_style,2,0,17.118810345102453,0.0042894481089758634,0.49576104266995447
ablation,ipd,lola_style,3,1,28.9608694703696,0.9970073347163851,0.9974688269048293
ablation,ipd,lola_style,4,0,16.847753086354007,0.019662208189449363,0.10087506733860926
ablation,ipd,lola_style,5,0,10.47580902313058,0.0017646351991964556,0.19608354343815884
ablation,ipd,lola_style,6,0,16.607939264403505,0.007282199118102181,0.011206534992328812
ablation,ipd,lola_style,7,0,25.55001779048379,0.05292009845732853,0.5257504461355396
ablation,ipd,lola_style,8,1,28.910475515351816,0.8312211728727706,0.9095514909392775
ablation,ipd,lola_style,9,0,10.016436873903896,0.012644236681958484,0.01791025710148975
ablation,ipd,lola_style,10,1,28.68149218720415,0.9954055836672006,0.9958213749947543
ablation,ipd,lola_style,11,0,17.024379452148807,0.00547498863289366,0.3750605297649352
ablation,ipd,lola_style,12,0,9.768685203982848,0.008134631375668772,0.016427467479311814
ablation,ipd,lola_style,13,0,16.678262960875074,0.007228103428275343,0.22770210743300637
ablation,ipd,lola_style,14,0,18.061039152954958,0.00849256890819503,0.018434170555055626
ablation,ipd,lola_style,15,0,16.79958497454003,0.0021490184612312033,0.01600564936190395
ablation,ipd,lola_style,16,1,28.428365754954427,0.9806056414805581,0.9860043446544782
ablation,ipd,lola_style,17,1,28.79075510351615,0.9729436575555089,0.982565113844826
ablation,ipd,lola_style,18,1,28.685103011425873,0.9925927604415065,0.9943001802994128
ablation,ipd,lola_style,19,1,28.953767953738218,0.9986641115735323,0.998714889971599
ablation,ipd,meta_mapg,0,0,23.984046077090795,0.005381098546774752,0.5007333835387923
ablation,ipd,meta_mapg,1,0,20.80660793723238,0.06661851888541694,0.5316456250069554
ablation,ipd,meta_mapg,2,0,23.185636611878593,0.003615416993275674,0.49316011822250677
ablation,ipd,meta_mapg,3,1,28.961040060328834,0.9970909068782061,0.9978820057380329
ablation,ipd,meta_mapg,4,1,28.931503647855344,0.9931824110510457,0.9935729996563044
ablation,ipd,meta_mapg,5,0,9.97236589072893,0.0016476957876536572,0.06160303149680872
ablation,ipd,meta_mapg,6,0,24.113297958580397,0.0048596571548235505,0.49962643878694596
ablation,ipd,meta_mapg,7,0,25.088925034222683,0.2529507283128722,0.6234970493790764
ablation,ipd,meta_mapg,8,1,28.937463022747384,0.9931731739210292,0.9944015125201526
ablation,ipd,meta_mapg,9,0,9.907813522583563,0.017474872293159742,0.026430535621281177
ablation,ipd,meta_mapg,10,1,24.54651742448035,0.9409065494489683,0.965061082469551
ablation,ipd,meta_mapg,11,0,17.126152570143585,0.009223511150282776,0.4975818760109637
ablation,ipd,meta_mapg,12,1,28.93931706106271,0.9986204459579872,0.9986688231109606
ablation,ipd,meta_mapg,13,0,17.15157294120511,0.0012188881680893933,0.49347976389189246
ablation,ipd,meta_mapg,14,0,9.77140585400491,0.008119227936151342,0.015998726680511544
ablation,ipd,meta_mapg,15,0,9.780163140676958,0.00792512431856792,0.008967366949811047
ablation,ipd,meta_mapg,16,0,17.122673771046372,0.01396802832363855,0.500890951591964
ablation,ipd,meta_mapg,17,0,26.12499921495094,0.08959755921745118,0.5437899111189641
ablation,ipd,meta_mapg,18,1,26.1773125962,0.9185536264452141,0.9562524092930076
ablation,ipd,meta_mapg,19,0,16.81260301738997,0.0034181843030444753,0.06752851626841895
