experiment,game,method,init_p1,init_p2,success,final_coop_min
basin,stag_hunt,standard_pg,0.27499999999999997,0.545,0,0.013850648083472243
basin,stag_hunt,standard_pg,0.27499999999999997,0.5900000000000001,0,0.015620107176863629
basin,stag_hunt,standard_pg,0.27499999999999997,0.635,0,0.015397751607484269
basin,stag_hunt,standard_pg,0.27499999999999997,0.68,0,0.014937078646547853
basin,stag_hunt,standard_pg,0.27499999999999997,0.725,0,0.016030484126727515
basin,stag_hunt,standard_pg,0.27499999999999997,0.77,0,0.01603494822131018
basin,stag_hunt,standard_pg,0.27499999999999997,0.8150000000000001,0,0.01721516814935079
basin,stag_hunt,standard_pg,0.27499999999999997,0.86,0,0.02032868108758203
basin,stag_hunt,standard_pg,0.27499999999999997,0.905,0,0.041513011754090764
basin,stag_hunt,standard_pg,0.27499999999999997,0.95,1,0.9581288163684003
basin,stag_hunt,standard_pg,0.32,0.05,0,0.010967723482710303
basin,stag_hunt,standard_pg,0.32,0.095,0,0.01227715997702562
basin,stag_hunt,standard_pg,0.32,0.14,0,0.013221167962682821
basin,stag_hunt,standard_pg,0.32,0.185,0,0.013964235688434462
basin,stag_hunt,standard_pg,0.32,0.22999999999999998,0,0.013137217986131182
basin,stag_hunt,standard_pg,0.32,0.27499999999999997,0,0.01376143310234401
basin,stag_hunt,standard_pg,0.32,0.32,0,0.013951184275534871
basin,stag_hunt,standard_pg,0.32,0.365,0,0.013963496731343394
basin,stag_hunt,standard_pg,0.32,0.41,0,0.014479933102752314
basin,stag_hunt,standard_pg,0.32,0.45499999999999996,0,0.014850503798332826
basin,stag_hunt,standard_pg,0.32,0.49999999999999994,0,0.014494422189548283
basin,stag_hunt,standard_pg,0.32,0.545,0,0.014831888747853274
basin,stag_hunt,standard_pg,0.32,0.5900000000000001,0,0.015158365388558857
basin,stag_hunt,standard_pg,0.32,0.635,0,0.01508237533389388
basin,stag_hunt,standard_pg,0.32,0.68,0,0.01617785345313201
basin,stag_hunt,standard_pg,0.32,0.725,0,0.01846533603349616
basin,stag_hunt,standard_pg,0.32,0.77,0,0.017151614960897843
basin,stag_hunt,standard_pg,0.32,0.8150000000000001,0,0.017516472942122142
basin,stag_hunt,standard_pg,0.32,0.86,0,0.018154969428494802
basin,stag_hunt,standard_pg,0.32,0.905,1,0.925710540805989
basin,stag_hunt,standard_pg,0.32,0.95,1,0.9576995756285352
basin,stag_hunt,standard_pg,0.365,0.05,0,0.010847765423261366
basin,stag_hunt,standard_pg,0.365,0.095,0,0.012535993370328605
basin,stag_hunt,standard_pg,0.365,0.14,0,0.012687256926334958
basin,stag_hunt,standard_pg,0.365,0.185,0,0.013329770741706111
basin,stag_hunt,standard_pg,0.365,0.22999999999999998,0,0.013753972274810409
basin,stag_hunt,standard_pg,0.365,0.27499999999999997,0,0.013837720899676076
basin,stag_hunt,standard_pg,0.365,0.32,0,0.013878772764239843
basin,stag_hunt,standard_pg,0.365,0.365,0,0.014507009458663034
basin,stag_hunt,standard_pg,0.365,0.41,0,0.014246062122237089
basin,stag_hunt,standard_pg,0.365,0.45499999999999996,0,0.015064538489228377
basin,stag_hunt,standard_pg,0.365,0.49999999999999994,0,0.014397796541119919
basin,stag_hunt,standard_pg,0.365,0.545,0,0.015790604337293755
basin,stag_hunt,standard_pg,0.365,0.5900000000000001,0,0.015755493407494974
basin,stag_hunt,standard_pg,0.365,0.635,0,0.01570769026872802
basin,stag_hunt,standard_pg,0.365,0.68,0,0.014921646477398515
basin,stag_hunt,standard_pg,0.365,0.725,0,0.01691314596328691
basin,stag_hunt,standard_pg,0.365,0.77,0,0.01892299194867987
basin,stag_hunt,standard_pg,0.365,0.8150000000000001,0,0.0185059781469035
basin,stag_hunt,standard_pg,0.365,0.86,0,0.021530174973222047
basin,stag_hunt,standard_pg,0.365,0.905,1,0.9418131788929819
basin,stag_hunt,standard_pg,0.365,0.95,1,0.9666185301974436
basin,stag_hunt,standard_pg,0.41,0.05,0,0.010808394991134548
basin,stag_hunt,standard_pg,0.41,0.095,0,0.011733683231029893
basin,stag_hunt,standard_pg,0.41,0.14,0,0.013243957952928782
basin,stag_hunt,standard_pg,0.41,0.185,0,0.013477040945161734
basin,stag_hunt,standard_pg,0.41,0.22999999999999998,0,0.013624711330064838
basin,stag_hunt,standard_pg,0.41,0.27499999999999997,0,0.014714187342000582
basin,stag_hunt,standard_pg,0.41,0.32,0,0.014692272231889096
basin,stag_hunt,standard_pg,0.41,0.365,0,0.013863434131589672
basin,stag_hunt,standard_pg,0.41,0.41,0,0.014529140199495194
basin,stag_hunt,standard_pg,0.41,0.45499999999999996,0,0.01578463226721471
basin,stag_hunt,standard_pg,0.41,0.49999999999999994,0,0.01492304703103419
basin,stag_hunt,standard_pg,0.41,0.545,0,0.014797482629517595
basin,stag_hunt,standard_pg,0.41,0.5900000000000001,0,0.015641579755270228
basin,stag_hunt,standard_pg,0.41,0.635,0,0.015208946560041165
basin,stag_hunt,standard_pg,0.41,0.68,0,0.017199991366379667
basin,stag_hunt,standard_pg,0.41,0.725,0,0.016957360271499935
basin,stag_hunt,standard_pg,0.41,0.77,0,0.020888945536758092
basin,stag_hunt,standard_pg,0.41,0.8150000000000001,0,0.019367112667631924
basin,stag_hunt,standard_pg,0.41,0.86,1,0.9406041981720653
basin,stag_hunt,standard_pg,0.41,0.905,1,0.9487086654982935
basin,stag_hunt,standard_pg,0.41,0.95,1,0.9650288293242004
basin,stag_hunt,standard_pg,0.45499999999999996,0.05,0,0.011007032416055086
basin,stag_hunt,standard_pg,0.45499999999999996,0.095,0,0.01276286405911364
basin,stag_hunt,standard_pg,0.45499999999999996,0.14,0,0.013053764211172486
basin,stag_hunt,standard_pg,0.45499999999999996,0.185,0,0.013150770709243927
basin,stag_hunt,standard_pg,0.45499999999999996,0.22999999999999998,0,0.013102264174168038
basin,stag_hunt,standard_pg,0.45499999999999996,0.27499999999999997,0,0.0148881518740558
basin,stag_hunt,standard_pg,0.45499999999999996,0.32,0,0.01424214197690809
basin,stag_hunt,standard_pg,0.45499999999999996,0.365,0,0.014776414142946769
basin,stag_hunt,standard_pg,0.45499999999999996,0.41,0,0.01523848144613191
basin,stag_hunt,standard_pg,0.45499999999999996,0.45499999999999996,0,0.015102031884026066
basin,stag_hunt,standard_pg,0.45499999999999996,0.49999999999999994,0,0.015045634602498057
basin,stag_hunt,standard_pg,0.45499999999999996,0.545,0,0.015290768901379885
basin,stag_hunt,standard_pg,0.45499999999999996,0.5900000000000001,0,0.01563889758326585
basin,stag_hunt,standard_pg,0.45499999999999996,0.635,0,0.017744295731876428
basin,stag_hunt,standard_pg,0.45499999999999996,0.68,0,0.020242870855155578
basin,stag_hunt,standard_pg,0.45499999999999996,0.725,0,0.017053095448640775
basin,stag_hunt,standard_pg,0.45499999999999996,0.77,0,0.021871423639016653
basin,stag_hunt,standard_pg,0.45499999999999996,0.8150000000000001,1,0.93061965750342
basin,stag_hunt,standard_pg,0.45499999999999996,0.86,1,0.9465200889135427
basin,stag_hunt,standard_pg,0.45499999999999996,0.905,1,0.9574028392213807
basin,stag_hunt,standard_pg,0.45499999999999996,0.95,1,0.9713467983533913
