label,method,schedule,seed,final_coop_min,second_half_coop_mean,second_half_coop_std,success,final_lambda
meta_mapg_two_phase,meta_mapg,two_phase,27,0.006891036434667737,0.00902574095263313,0.0015307506339503048,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,28,0.985017683476355,0.9800870087182274,0.003247887915231115,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,29,0.007242365715424546,0.009583149455590061,0.0017102789406556918,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,30,0.006732865386143741,0.00870873893301111,0.0014287934561048837,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,31,0.008750988208771848,0.012636836731458335,0.0029706203280515627,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,32,0.9867876683537714,0.9827939595117201,0.0034015214219548164,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,33,0.0071834594930167825,0.009484516939903154,0.0016682926710397674,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,34,0.9839030139277799,0.9792408877004248,0.0030837692920493635,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,35,0.982270354691694,0.9760928751931723,0.005170166677609298,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,36,0.0075904472758881285,0.010249783039898864,0.001974323080688542,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,37,0.9825840665729902,0.9759351692309814,0.004950816708986523,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,38,0.007397019936623426,0.009892696948034237,0.0018125649794646778,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,39,0.9836643403103579,0.9757722500623814,0.005575777836557695,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,40,0.007565260124084351,0.010218119345331398,0.0019733788280108847,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,41,0.9857762137782897,0.9810007025717258,0.0036770764253363404,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,42,0.00733739376744283,0.009763125112889588,0.0017700344470357615,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,43,0.0065780298206270914,0.00848940078258878,0.0013631566669603133,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,44,0.008146245138210476,0.011300510892484046,0.00236859114918585,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,45,0.007136060376406851,0.009436558022563893,0.0016583620439270343,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,46,0.9806553554520469,0.9728026541876666,0.006206407668120149,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,47,0.007577834914351551,0.010153577784654439,0.001893934823616014,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,48,0.9838297765255923,0.9770809044387353,0.0044519731661444364,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,49,0.007279195379592676,0.009698358561778763,0.0017506258976391937,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,50,0.007779999012410295,0.010672048155706739,0.002143667505451053,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,51,0.9843223333440391,0.9778168602971962,0.0047668808826179165,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,52,0.007319666534253015,0.009757798263520127,0.0017807309189462862,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,53,0.007710192508469978,0.010426222626124556,0.002012781057170146,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,54,0.007611286717894066,0.010265001946569633,0.00196041464746448,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,55,0.007427659347117253,0.009995251045622544,0.001881018184382275,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,56,0.006762460752455985,0.00875386363580905,0.001404616558286067,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,57,0.9807782923891314,0.973757037277659,0.005475668078625252,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,58,0.00753714476787991,0.010150869966064518,0.0019218086778554759,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,59,0.006315576968924494,0.007955610331988827,0.001163664586352036,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,60,0.9700304047999325,0.9437896734464594,0.023372966497154632,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,61,0.9826555261264227,0.9775370832486004,0.004053058363757091,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,62,0.9828102398849571,0.9767833011267651,0.0040020011627500554,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,63,0.9846945937742829,0.9790964063935954,0.003992714263552893,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,64,0.9842086016120241,0.9783116927840291,0.003817617042234,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,65,0.0074052408273577175,0.009853003771224262,0.0018122860411496065,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,66,0.007731223761712613,0.01055934366903665,0.002084643188931155,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,67,0.00737762781050854,0.009767480924069288,0.001716237375251782,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,68,0.983515084023358,0.9778744208511654,0.004141037274606619,1,0.4135736630047511
